Format Version,1.21,Take Name,mineral_water_elore,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 01.25.39 PM,Total Frames in Take,1790,Total Exported Frames,1790,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.367809,0.342332,0.723551
1,0.008333,0.367788,0.342411,0.723187
2,0.016667,0.367782,0.342492,0.722836
3,0.025000,0.367778,0.342538,0.722571
4,0.033333,0.367779,0.342565,0.722453
5,0.041667,0.367777,0.342555,0.722521
6,0.050000,0.367786,0.342521,0.722733
7,0.058333,0.367788,0.342450,0.723053
8,0.066667,0.367794,0.342381,0.723396
9,0.075000,0.367808,0.342323,0.723643
10,0.083333,0.367810,0.342312,0.723753
11,0.091667,0.367816,0.342319,0.723709
12,0.100000,0.367805,0.342353,0.723539
13,0.108333,0.367801,0.342404,0.723269
14,0.116667,0.367805,0.342467,0.723014
15,0.125000,0.367812,0.342505,0.722833
16,0.133333,0.367817,0.342518,0.722764
17,0.141667,0.367815,0.342506,0.722827
18,0.150000,0.367826,0.342473,0.722974
19,0.158333,0.367830,0.342426,0.723188
20,0.166667,0.367845,0.342376,0.723388
21,0.175000,0.367858,0.342354,0.723519
22,0.183333,0.367864,0.342342,0.723536
23,0.191667,0.367857,0.342363,0.723434
24,0.200000,0.367865,0.342402,0.723273
25,0.208333,0.367855,0.342448,0.723100
26,0.216667,0.367852,0.342475,0.722965
27,0.225000,0.367857,0.342483,0.722902
28,0.233333,0.367855,0.342481,0.722925
29,0.241667,0.367858,0.342465,0.723027
30,0.250000,0.367866,0.342430,0.723174
31,0.258333,0.367865,0.342391,0.723322
32,0.266667,0.367874,0.342369,0.723430
33,0.275000,0.367865,0.342364,0.723460
34,0.283333,0.367873,0.342375,0.723409
35,0.291667,0.367872,0.342401,0.723292
36,0.300000,0.367860,0.342434,0.723157
37,0.308333,0.367861,0.342450,0.723038
38,0.316667,0.367861,0.342465,0.722963
39,0.325000,0.367855,0.342476,0.722955
40,0.333333,0.367857,0.342474,0.723007
41,0.341667,0.367859,0.342440,0.723103
42,0.350000,0.367863,0.342414,0.723222
43,0.358333,0.367865,0.342397,0.723323
44,0.366667,0.367865,0.342385,0.723376
45,0.375000,0.367867,0.342386,0.723373
46,0.383333,0.367865,0.342397,0.723309
47,0.391667,0.367852,0.342422,0.723225
48,0.400000,0.367854,0.342447,0.723129
49,0.408333,0.367855,0.342456,0.723052
50,0.416667,0.367856,0.342468,0.723036
51,0.425000,0.367850,0.342459,0.723062
52,0.433333,0.367853,0.342437,0.723130
53,0.441667,0.367864,0.342422,0.723208
54,0.450000,0.367862,0.342407,0.723281
55,0.458333,0.367859,0.342400,0.723333
56,0.466667,0.367864,0.342396,0.723346
57,0.475000,0.367871,0.342389,0.723311
58,0.483333,0.367857,0.342420,0.723246
59,0.491667,0.367853,0.342442,0.723173
60,0.500000,0.367854,0.342441,0.723122
61,0.508333,0.367855,0.342442,0.723091
62,0.516667,0.367851,0.342452,0.723105
63,0.525000,0.367852,0.342445,0.723148
64,0.533333,0.367861,0.342421,0.723205
65,0.541667,0.367862,0.342408,0.723267
66,0.550000,0.367858,0.342409,0.723293
67,0.558333,0.367863,0.342405,0.723291
68,0.566667,0.367857,0.342412,0.723262
69,0.575000,0.367851,0.342429,0.723212
70,0.583333,0.367850,0.342447,0.723154
71,0.591667,0.367855,0.342450,0.723105
72,0.600000,0.367843,0.342455,0.723091
73,0.608333,0.367845,0.342459,0.723110
74,0.616667,0.367852,0.342433,0.723155
75,0.625000,0.367857,0.342427,0.723213
76,0.633333,0.367852,0.342426,0.723257
77,0.641667,0.367853,0.342415,0.723286
78,0.650000,0.367857,0.342405,0.723285
79,0.658333,0.367847,0.342421,0.723258
80,0.666667,0.367849,0.342439,0.723201
81,0.675000,0.367849,0.342451,0.723149
82,0.683333,0.367838,0.342461,0.723119
83,0.691667,0.367848,0.342458,0.723104
84,0.700000,0.367843,0.342451,0.723124
85,0.708333,0.367841,0.342447,0.723159
86,0.716667,0.367847,0.342436,0.723226
87,0.725000,0.367845,0.342424,0.723285
88,0.733333,0.367847,0.342412,0.723321
89,0.741667,0.367846,0.342406,0.723335
90,0.750000,0.367845,0.342416,0.723327
91,0.758333,0.367837,0.342429,0.723308
92,0.766667,0.367838,0.342426,0.723287
93,0.775000,0.367840,0.342427,0.723273
94,0.783333,0.367830,0.342437,0.723281
95,0.791667,0.367829,0.342428,0.723311
96,0.800000,0.367833,0.342416,0.723367
97,0.808333,0.367837,0.342408,0.723430
98,0.816667,0.367833,0.342401,0.723495
99,0.825000,0.367834,0.342391,0.723527
100,0.833333,0.367829,0.342388,0.723541
101,0.841667,0.367834,0.342398,0.723524
102,0.850000,0.367832,0.342406,0.723485
103,0.858333,0.367824,0.342416,0.723427
104,0.866667,0.367821,0.342428,0.723378
105,0.875000,0.367827,0.342426,0.723359
106,0.883333,0.367815,0.342432,0.723360
107,0.891667,0.367817,0.342420,0.723388
108,0.900000,0.367815,0.342414,0.723429
109,0.908333,0.367819,0.342410,0.723478
110,0.916667,0.367818,0.342406,0.723519
111,0.925000,0.367814,0.342407,0.723531
112,0.933333,0.367814,0.342408,0.723521
113,0.941667,0.367812,0.342414,0.723490
114,0.950000,0.367811,0.342420,0.723444
115,0.958333,0.367813,0.342425,0.723407
116,0.966667,0.367811,0.342432,0.723377
117,0.975000,0.367805,0.342440,0.723377
118,0.983333,0.367802,0.342434,0.723397
119,0.991667,0.367813,0.342418,0.723423
120,1.000000,0.367811,0.342417,0.723469
121,1.008333,0.367813,0.342413,0.723495
122,1.016667,0.367816,0.342407,0.723514
123,1.025000,0.367809,0.342404,0.723518
124,1.033333,0.367810,0.342411,0.723492
125,1.041667,0.367809,0.342417,0.723460
126,1.050000,0.367812,0.342427,0.723429
127,1.058333,0.367809,0.342427,0.723405
128,1.066667,0.367811,0.342424,0.723396
129,1.075000,0.367808,0.342429,0.723402
130,1.083333,0.367811,0.342431,0.723429
131,1.091667,0.367810,0.342417,0.723462
132,1.100000,0.367811,0.342409,0.723488
133,1.108333,0.367810,0.342407,0.723509
134,1.116667,0.367814,0.342413,0.723506
135,1.125000,0.367824,0.342414,0.723498
136,1.133333,0.367812,0.342419,0.723475
137,1.141667,0.367811,0.342416,0.723443
138,1.150000,0.367821,0.342423,0.723419
139,1.158333,0.367820,0.342419,0.723404
140,1.166667,0.367812,0.342433,0.723412
141,1.175000,0.367815,0.342422,0.723423
142,1.183333,0.367819,0.342413,0.723454
143,1.191667,0.367821,0.342408,0.723475
144,1.200000,0.367825,0.342409,0.723487
145,1.208333,0.367825,0.342401,0.723492
146,1.216667,0.367826,0.342403,0.723492
147,1.225000,0.367827,0.342404,0.723467
148,1.233333,0.367829,0.342409,0.723443
149,1.241667,0.367834,0.342412,0.723423
150,1.250000,0.367830,0.342414,0.723407
151,1.258333,0.367837,0.342412,0.723407
152,1.266667,0.367844,0.342406,0.723419
153,1.275000,0.367846,0.342409,0.723438
154,1.283333,0.367854,0.342403,0.723457
155,1.291667,0.367860,0.342401,0.723470
156,1.300000,0.367857,0.342402,0.723474
157,1.308333,0.367868,0.342399,0.723463
158,1.316667,0.367864,0.342404,0.723445
159,1.325000,0.367862,0.342407,0.723428
160,1.333333,0.367858,0.342411,0.723410
161,1.341667,0.367864,0.342420,0.723401
162,1.350000,0.367865,0.342413,0.723397
163,1.358333,0.367861,0.342405,0.723409
164,1.366667,0.367859,0.342409,0.723421
165,1.375000,0.367862,0.342411,0.723441
166,1.383333,0.367869,0.342400,0.723447
167,1.391667,0.367863,0.342403,0.723457
168,1.400000,0.367866,0.342412,0.723451
169,1.408333,0.367867,0.342405,0.723436
170,1.416667,0.367866,0.342411,0.723428
171,1.425000,0.367872,0.342404,0.723412
172,1.433333,0.367865,0.342410,0.723405
173,1.441667,0.367865,0.342410,0.723408
174,1.450000,0.367865,0.342409,0.723402
175,1.458333,0.367866,0.342411,0.723414
176,1.466667,0.367863,0.342407,0.723431
177,1.475000,0.367867,0.342399,0.723441
178,1.483333,0.367863,0.342401,0.723446
179,1.491667,0.367864,0.342408,0.723447
180,1.500000,0.367870,0.342400,0.723441
181,1.508333,0.367867,0.342400,0.723432
182,1.516667,0.367869,0.342411,0.723417
183,1.525000,0.367867,0.342413,0.723405
184,1.533333,0.367874,0.342410,0.723399
185,1.541667,0.367868,0.342404,0.723405
186,1.550000,0.367867,0.342408,0.723418
187,1.558333,0.367867,0.342407,0.723425
188,1.566667,0.367877,0.342403,0.723439
189,1.575000,0.367875,0.342393,0.723443
190,1.583333,0.367867,0.342403,0.723441
191,1.591667,0.367865,0.342398,0.723438
192,1.600000,0.367870,0.342404,0.723431
193,1.608333,0.367871,0.342404,0.723417
194,1.616667,0.367871,0.342406,0.723415
195,1.625000,0.367861,0.342409,0.723411
196,1.633333,0.367868,0.342406,0.723404
197,1.641667,0.367873,0.342411,0.723416
198,1.650000,0.367868,0.342409,0.723421
199,1.658333,0.367873,0.342395,0.723435
200,1.666667,0.367864,0.342400,0.723444
201,1.675000,0.367870,0.342398,0.723441
202,1.683333,0.367872,0.342405,0.723435
203,1.691667,0.367874,0.342403,0.723428
204,1.700000,0.367872,0.342402,0.723426
205,1.708333,0.367875,0.342401,0.723413
206,1.716667,0.367869,0.342406,0.723409
207,1.725000,0.367869,0.342402,0.723410
208,1.733333,0.367870,0.342400,0.723420
209,1.741667,0.367874,0.342404,0.723420
210,1.750000,0.367870,0.342405,0.723434
211,1.758333,0.367878,0.342400,0.723437
212,1.766667,0.367868,0.342397,0.723434
213,1.775000,0.367874,0.342393,0.723438
214,1.783333,0.367873,0.342409,0.723433
215,1.791667,0.367872,0.342409,0.723420
216,1.800000,0.367870,0.342405,0.723410
217,1.808333,0.367869,0.342400,0.723417
218,1.816667,0.367872,0.342397,0.723418
219,1.825000,0.367877,0.342406,0.723419
220,1.833333,0.367878,0.342402,0.723416
221,1.841667,0.367867,0.342405,0.723429
222,1.850000,0.367866,0.342403,0.723443
223,1.858333,0.367872,0.342402,0.723444
224,1.866667,0.367878,0.342403,0.723434
225,1.875000,0.367873,0.342403,0.723424
226,1.883333,0.367867,0.342408,0.723430
227,1.891667,0.367870,0.342402,0.723423
228,1.900000,0.367876,0.342407,0.723416
229,1.908333,0.367872,0.342412,0.723411
230,1.916667,0.367863,0.342407,0.723420
231,1.925000,0.367872,0.342404,0.723429
232,1.933333,0.367878,0.342399,0.723430
233,1.941667,0.367872,0.342402,0.723434
234,1.950000,0.367872,0.342402,0.723439
235,1.958333,0.367869,0.342401,0.723436
236,1.966667,0.367869,0.342402,0.723430
237,1.975000,0.367872,0.342404,0.723438
238,1.983333,0.367873,0.342405,0.723425
239,1.991667,0.367871,0.342403,0.723422
240,2.000000,0.367868,0.342395,0.723420
241,2.008333,0.367862,0.342412,0.723423
242,2.016667,0.367873,0.342408,0.723429
243,2.025000,0.367873,0.342399,0.723428
244,2.033333,0.367863,0.342397,0.723432
245,2.041667,0.367862,0.342404,0.723435
246,2.050000,0.367873,0.342412,0.723440
247,2.058333,0.367872,0.342407,0.723434
248,2.066667,0.367869,0.342399,0.723426
249,2.075000,0.367867,0.342403,0.723430
250,2.083333,0.367872,0.342402,0.723424
251,2.091667,0.367869,0.342406,0.723417
252,2.100000,0.367867,0.342413,0.723428
253,2.108333,0.367864,0.342408,0.723426
254,2.116667,0.367870,0.342400,0.723432
255,2.125000,0.367873,0.342403,0.723427
256,2.133333,0.367873,0.342410,0.723430
257,2.141667,0.367872,0.342398,0.723437
258,2.150000,0.367868,0.342400,0.723432
259,2.158333,0.367869,0.342407,0.723434
260,2.166667,0.367875,0.342406,0.723429
261,2.175000,0.367873,0.342404,0.723430
262,2.183333,0.367871,0.342406,0.723423
263,2.191667,0.367869,0.342406,0.723422
264,2.200000,0.367865,0.342408,0.723429
265,2.208333,0.367872,0.342406,0.723431
266,2.216667,0.367867,0.342405,0.723435
267,2.225000,0.367867,0.342407,0.723439
268,2.233333,0.367871,0.342401,0.723435
269,2.241667,0.367869,0.342408,0.723433
270,2.250000,0.367872,0.342401,0.723429
271,2.258333,0.367866,0.342408,0.723433
272,2.266667,0.367870,0.342406,0.723427
273,2.275000,0.367863,0.342412,0.723428
274,2.283333,0.367874,0.342405,0.723425
275,2.291667,0.367871,0.342406,0.723426
276,2.300000,0.367865,0.342406,0.723429
277,2.308333,0.367872,0.342403,0.723432
278,2.316667,0.367871,0.342405,0.723432
279,2.325000,0.367868,0.342410,0.723437
280,2.333333,0.367872,0.342409,0.723436
281,2.341667,0.367867,0.342406,0.723432
282,2.350000,0.367868,0.342404,0.723430
283,2.358333,0.367868,0.342406,0.723428
284,2.366667,0.367868,0.342409,0.723428
285,2.375000,0.367868,0.342408,0.723426
286,2.383333,0.367868,0.342401,0.723431
287,2.391667,0.367867,0.342405,0.723431
288,2.400000,0.367868,0.342408,0.723432
289,2.408333,0.367870,0.342406,0.723438
290,2.416667,0.367867,0.342400,0.723440
291,2.425000,0.367867,0.342405,0.723432
292,2.433333,0.367867,0.342405,0.723436
293,2.441667,0.367865,0.342405,0.723437
294,2.450000,0.367873,0.342401,0.723426
295,2.458333,0.367865,0.342408,0.723429
296,2.466667,0.367862,0.342414,0.723431
297,2.475000,0.367861,0.342415,0.723423
298,2.483333,0.367867,0.342402,0.723427
299,2.491667,0.367868,0.342404,0.723434
300,2.500000,0.367862,0.342412,0.723427
301,2.508333,0.367863,0.342406,0.723436
302,2.516667,0.367868,0.342402,0.723431
303,2.525000,0.367869,0.342407,0.723434
304,2.533333,0.367866,0.342411,0.723435
305,2.541667,0.367861,0.342409,0.723431
306,2.550000,0.367865,0.342406,0.723431
307,2.558333,0.367872,0.342401,0.723428
308,2.566667,0.367864,0.342409,0.723437
309,2.575000,0.367867,0.342403,0.723432
310,2.583333,0.367866,0.342409,0.723435
311,2.591667,0.367866,0.342409,0.723432
312,2.600000,0.367867,0.342407,0.723436
313,2.608333,0.367867,0.342402,0.723433
314,2.616667,0.367868,0.342404,0.723433
315,2.625000,0.367861,0.342410,0.723434
316,2.633333,0.367866,0.342408,0.723433
317,2.641667,0.367868,0.342408,0.723431
318,2.650000,0.367861,0.342407,0.723432
319,2.658333,0.367863,0.342407,0.723435
320,2.666667,0.367869,0.342402,0.723424
321,2.675000,0.367875,0.342402,0.723426
322,2.683333,0.367863,0.342411,0.723435
323,2.691667,0.367862,0.342407,0.723438
324,2.700000,0.367863,0.342402,0.723436
325,2.708333,0.367865,0.342409,0.723434
326,2.716667,0.367870,0.342410,0.723434
327,2.725000,0.367873,0.342402,0.723433
328,2.733333,0.367872,0.342401,0.723431
329,2.741667,0.367868,0.342407,0.723434
330,2.750000,0.367870,0.342402,0.723433
331,2.758333,0.367869,0.342411,0.723433
332,2.766667,0.367872,0.342402,0.723434
333,2.775000,0.367867,0.342408,0.723436
334,2.783333,0.367869,0.342400,0.723432
335,2.791667,0.367869,0.342401,0.723438
336,2.800000,0.367865,0.342403,0.723442
337,2.808333,0.367872,0.342402,0.723433
338,2.816667,0.367869,0.342403,0.723435
339,2.825000,0.367869,0.342408,0.723428
340,2.833333,0.367868,0.342400,0.723428
341,2.841667,0.367862,0.342408,0.723434
342,2.850000,0.367865,0.342401,0.723430
343,2.858333,0.367864,0.342407,0.723433
344,2.866667,0.367864,0.342408,0.723435
345,2.875000,0.367872,0.342400,0.723435
346,2.883333,0.367869,0.342409,0.723433
347,2.891667,0.367871,0.342401,0.723430
348,2.900000,0.367870,0.342404,0.723435
349,2.908333,0.367861,0.342410,0.723435
350,2.916667,0.367867,0.342404,0.723430
351,2.925000,0.367866,0.342401,0.723429
352,2.933333,0.367870,0.342406,0.723426
353,2.941667,0.367875,0.342410,0.723437
354,2.950000,0.367870,0.342403,0.723436
355,2.958333,0.367868,0.342403,0.723438
356,2.966667,0.367865,0.342411,0.723436
357,2.975000,0.367866,0.342405,0.723435
358,2.983333,0.367865,0.342406,0.723435
359,2.991667,0.367873,0.342402,0.723430
360,3.000000,0.367867,0.342408,0.723436
361,3.008333,0.367865,0.342402,0.723433
362,3.016667,0.367865,0.342399,0.723431
363,3.025000,0.367867,0.342408,0.723436
364,3.033333,0.367876,0.342412,0.723434
365,3.041667,0.367869,0.342413,0.723431
366,3.050000,0.367865,0.342401,0.723430
367,3.058333,0.367862,0.342406,0.723436
368,3.066667,0.367865,0.342410,0.723440
369,3.075000,0.367872,0.342409,0.723435
370,3.083333,0.367864,0.342407,0.723432
371,3.091667,0.367857,0.342408,0.723435
372,3.100000,0.367865,0.342403,0.723441
373,3.108333,0.367874,0.342403,0.723430
374,3.116667,0.367870,0.342408,0.723434
375,3.125000,0.367862,0.342408,0.723437
376,3.133333,0.367865,0.342408,0.723435
377,3.141667,0.367870,0.342406,0.723432
378,3.150000,0.367872,0.342411,0.723436
379,3.158333,0.367868,0.342403,0.723441
380,3.166667,0.367863,0.342399,0.723436
381,3.175000,0.367868,0.342401,0.723434
382,3.183333,0.367873,0.342414,0.723430
383,3.191667,0.367873,0.342408,0.723434
384,3.200000,0.367863,0.342402,0.723431
385,3.208333,0.367860,0.342396,0.723434
386,3.216667,0.367874,0.342403,0.723433
387,3.225000,0.367873,0.342411,0.723438
388,3.233333,0.367874,0.342403,0.723435
389,3.241667,0.367863,0.342409,0.723440
390,3.250000,0.367868,0.342398,0.723444
391,3.258333,0.367872,0.342411,0.723433
392,3.266667,0.367874,0.342404,0.723438
393,3.275000,0.367870,0.342404,0.723441
394,3.283333,0.367861,0.342413,0.723442
395,3.291667,0.367875,0.342403,0.723434
396,3.300000,0.367875,0.342408,0.723432
397,3.308333,0.367875,0.342403,0.723442
398,3.316667,0.367869,0.342404,0.723439
399,3.325000,0.367877,0.342395,0.723434
400,3.333333,0.367869,0.342407,0.723430
401,3.341667,0.367869,0.342411,0.723435
402,3.350000,0.367871,0.342400,0.723438
403,3.358333,0.367874,0.342396,0.723431
404,3.366667,0.367873,0.342402,0.723432
405,3.375000,0.367863,0.342414,0.723436
406,3.383333,0.367873,0.342400,0.723438
407,3.391667,0.367873,0.342404,0.723436
408,3.400000,0.367875,0.342402,0.723435
409,3.408333,0.367876,0.342407,0.723435
410,3.416667,0.367873,0.342399,0.723434
411,3.425000,0.367870,0.342400,0.723437
412,3.433333,0.367867,0.342404,0.723445
413,3.441667,0.367876,0.342406,0.723442
414,3.450000,0.367873,0.342398,0.723435
415,3.458333,0.367878,0.342389,0.723432
416,3.466667,0.367864,0.342402,0.723438
417,3.475000,0.367869,0.342395,0.723445
418,3.483333,0.367875,0.342395,0.723436
419,3.491667,0.367862,0.342400,0.723438
420,3.500000,0.367860,0.342405,0.723443
421,3.508333,0.367867,0.342399,0.723442
422,3.516667,0.367873,0.342394,0.723438
423,3.525000,0.367872,0.342397,0.723433
424,3.533333,0.367857,0.342411,0.723436
425,3.541667,0.367864,0.342401,0.723437
426,3.550000,0.367870,0.342397,0.723433
427,3.558333,0.367862,0.342401,0.723436
428,3.566667,0.367853,0.342412,0.723431
429,3.575000,0.367853,0.342404,0.723441
430,3.583333,0.367859,0.342389,0.723428
431,3.591667,0.367859,0.342398,0.723428
432,3.600000,0.367855,0.342404,0.723429
433,3.608333,0.367847,0.342405,0.723428
434,3.616667,0.367844,0.342398,0.723432
435,3.625000,0.367838,0.342400,0.723436
436,3.633333,0.367836,0.342402,0.723446
437,3.641667,0.367836,0.342407,0.723435
438,3.650000,0.367836,0.342399,0.723428
439,3.658333,0.367835,0.342402,0.723434
440,3.666667,0.367834,0.342402,0.723443
441,3.675000,0.367831,0.342404,0.723439
442,3.683333,0.367829,0.342397,0.723433
443,3.691667,0.367825,0.342406,0.723435
444,3.700000,0.367821,0.342414,0.723444
445,3.708333,0.367821,0.342403,0.723439
446,3.716667,0.367820,0.342401,0.723437
447,3.725000,0.367819,0.342406,0.723435
448,3.733333,0.367819,0.342411,0.723441
